ID,CommitCount#Lab1,Failed#Lab1,Passed#Lab1,Error#Lab1,Done#Lab1 ,ActiveDays#Lab1,CommitsPerDay#Lab1
235957,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
236099,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236131,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236135,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
236149,0.07407407407407407,0.375,0.4285714285714285,0.125,1.0,0.125,0.1111111111111111
236195,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236245,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
236275,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236291,0.2962962962962963,0.375,0.3571428571428571,0.25,1.0,0.25,0.3333333333333333
236304,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236389,0.07407407407407407,0.0,0.0,0.0,1.0,0.125,0.1111111111111111
236397,0.2222222222222222,0.125,0.5714285714285714,0.125,1.0,0.125,0.5555555555555556
236502,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
236558,0.14814814814814814,0.375,0.4285714285714285,0.125,1.0,0.25,0.1111111111111111
236570,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236594,0.1111111111111111,0.375,0.4285714285714285,0.125,1.0,0.125,0.2222222222222222
236622,0.2222222222222222,0.125,0.5714285714285714,0.125,1.0,0.25,0.2222222222222222
236624,0.25925925925925924,0.125,0.3571428571428571,0.5,1.0,0.5,0.1111111111111111
236628,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236635,0.2222222222222222,0.875,0.14285714285714285,0.125,1.0,0.125,0.5555555555555556
236644,0.18518518518518517,0.875,0.14285714285714285,0.125,1.0,0.125,0.4444444444444444
236734,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236783,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
236853,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
236878,0.07407407407407407,0.0,0.0,0.0,1.0,0.125,0.1111111111111111
236990,0.1111111111111111,0.0,0.0,0.0,1.0,0.125,0.2222222222222222
237001,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
237008,0.2222222222222222,0.125,0.5714285714285714,0.125,1.0,0.125,0.5555555555555556
